rating,comm,date,playtime,comm_ready,rating_bool
Recommended,"Топ игра, никому не советую.",Posted: 21 Apr @ 4:18am,"95.7 hrs last two weeks / 1,711.7 hrs on record(1,708.9 hrs at review time)",топ игра никто советовать,1
Not Recommended,какашка ыыыыы,Posted: 21 Apr @ 4:14am,2.8 hrs last two weeks / 48.8 hrs on record(46.0 hrs at review time),какашка ыыыы,0
Recommended,крутая игра,Posted: 21 Apr @ 4:10am,19.0 hrs last two weeks / 32.4 hrs on record(31.4 hrs at review time),крутой игра,1
Not Recommended,"игра , дофига читаков, тупые тимейты, нет античита, не работают репорты, невозможно играть премьер на любом рейт инге либо дауны в тиме либо читаки, не регает,  не рекомендую лучше скачайте пиратскую кс го",Posted: 21 Apr @ 4:11am,87.5 hrs last two weeks / 301.1 hrs on record(298.4 hrs at review time),игра дофига читаковы тупой тимейт античита работать репорт невозможно играть премьер любой рейт инга либо даун тим либо читаки регаета рекомендовать скачать пиратский кс го,0
Recommended,оа мтв аиб,Posted: 21 Apr @ 4:06am,0.0 hrs last two weeks / 291.2 hrs on record,оа мтв аиб,1
Not Recommended,игра  онли читеры выиграешь 10 игр подрят не поднимает ранг а после первого луза сливает,Posted: 21 Apr @ 4:05am,23.9 hrs last two weeks / 141.0 hrs on record(140.0 hrs at review time),игра онли читер выиграть 10 игра подрить поднимать ранг первый луза сливать,0
Recommended,Посидеть на коленках черного санты пока он ласкает ваши гениталии или поиграть с другом в кс2 хотя это одно и тоже,Posted: 21 Apr @ 4:03am,1.0 hrs last two weeks / 31.4 hrs on record(30.4 hrs at review time),посидеть коленка чёрный сант ласкать гениталии поиграть друг кс2 один,1
Recommended,игра топ у меня альцгеймер и нет бати,Posted: 21 Apr @ 4:02am,66.7 hrs last two weeks / 228.7 hrs on record(228.7 hrs at review time),игра топ альцгеймер батя,1
Recommended,Великолепная игра. - все нервы,Posted: 21 Apr @ 3:55am,18.3 hrs last two weeks / 19.1 hrs on record(18.6 hrs at review time),великолепный игра нерв,1
Not Recommended,верните кс,Posted: 21 Apr @ 3:53am,36.9 hrs last two weeks / 87.7 hrs on record(84.9 hrs at review time),вернуть кс,0
Recommended,"ИГРА КАЛЛ, ВСЕМ СОВЕТУЮ",Posted: 21 Apr @ 3:51am,3.8 hrs last two weeks / 235.9 hrs on record(235.3 hrs at review time),игра калла советовать,1
Recommended,Не затягивает (,Posted: 21 Apr @ 3:48am,10.9 hrs last two weeks / 92.4 hrs on record,затягивать,1
Recommended,"Что мне деалть если кс 2 вылетает но комп мощный? Биля зач кс го удалять, валв ваши рты ибал",Posted: 21 Apr @ 3:47am,1.3 hrs last two weeks / 552.9 hrs on record(551.6 hrs at review time),деалть кс вылетать комп мощный биль зач кс го удалять валва рот ибал,1
Recommended,ПРОСТО,Posted: 21 Apr @ 3:43am,15.4 hrs last two weeks / 50.4 hrs on record,,1
Recommended,Великолепная игра. - все нервы,Posted: 21 Apr @ 3:38am,1.2 hrs last two weeks / 166.9 hrs on record(165.7 hrs at review time),великолепный игра нерв,1
Recommended,топ игра,Posted: 21 Apr @ 3:35am,13.0 hrs last two weeks / 107.8 hrs on record(106.2 hrs at review time),топ игра,1
Recommended,"Достоинства: Новая механика со смоком, пофиксили войсчат, убрали невидимые стенки в воздухеНедостатки: Текстуры сделали слишком яркими, на данный момент (28.09.2023) ужасная оптимизацияВсех приветствую. Сегодня, 28 сентября 2023 года состоялся официальный выход Counter Strike 2, для кого-то радость, для кого-то грусть, собственно, сейчас вы читаете самый первый отзыв после релиза.В общем и целом, классика, после столь долгих лет вышедшая на свет вторая часть в очередной раз """"УбИлА аТмОсФеРу ПрОшЛоЙ!"""", впрочем, это одна из любимых фраз геймеров.-Сейчас я хочу обратиться к заядлым любителям атмосферы: опомнитесь, окаянные, если игра хочет двигаться в ногу со временем, какое-то крупное обновление рано или поздно изменит её до неузнаваемости, и вместе с этим нам придётся привыкать к новому! Это случается абсолютно с каждой игрой, которая хочет иметь будущее, поэтому не вижу смысла хейтить её за то что убили атмосферу прошлой, что теперь нужно учиться заново и всё такое. На самом деле, учиться заново не нужно, нужно лишь переучиваться! Считайте, всю жизнь водите леворульную машину, а потом пересаживаетесь на праворульную, вроде бы умеете, а вроде и непривычно, также и здесь.Поверьте, после выхода КС сурс/зеро, многие игроки КС 1.6 точно так же говорили, что вот, превратили игру в г..., аналогично и тому, что игроки КС Сурс/зеро/1.6 кричали про ужасное КС ГО. И так будет постоянно, мы будем привыкать, потом выйдет обновление и мы вновь начнём говорить, что КС 2 была хорошей, лучшей, а КС 3 полное г... Я уже это говорил, но повторюсь, это касается не только КС, но и в принципе всех игр, что хотят будущего и не стоят на месте.Поэтому постарайтесь принять тот факт, что вышла новая версия, и более правильным вариантом будет попросту начать привыкать к ней, нежели засирать за отличие от предыдущей, того и гляди, через месяц все уже забудут о КС ГО.-А теперь по поводу самих нововведений, здесь будут не все, так как каждый пиксель разбирать нет смысла, но самые значимые я добавлю:- Текстуру карт почти что не изменили, многие камушки лежат на тех же местах, многие потёртости на тех же стенках, а сами карты не то, что бы яркими стали, а просто какими-то очень светлыми... Честно, глаза режет, хотя по сути это выглядит лучше, но что-то здесь явно не так. Впрочем, ешь что дают, как говорится.",Posted: 21 Apr @ 3:35am,292.3 hrs last two weeks / 327.5 hrs on record(325.6 hrs at review time),достоинство новый механика смоко пофиксиль войсчат убрать невидимый стенка воздухенедостаток текстура сделать яркий данный момент 28 09 2023 ужасный оптимизациявсех приветствовать сегодня 28 сентябрь 2023 состояться официальный выход counter strike кто то радость кто то грусть собственно читать отзыв релиз общий целое классика столь долгий выйти второй очередной убить атмосфера прошлый впрочем один любимый фраза геймер сейчас хотеть обратиться заядлый любитель атмосфера опомниться окаянный игра хотеть двигаться нога время какой то крупный обновление поздно изменить неузнаваемость прийтись привыкать новый случаться абсолютно каждый игра хотеть будущее поэтому видеть смысл хейтить убить атмосфера прошлый учиться заново такой дело учиться заново нужно переучиваться считать водить леворульный машина пересаживаться праворульный вроде уметь вроде непривычно здесь поверьте выход кс сурс зеро многие игрок кс точно говорить вот превратить игра аналогично тот игрок кс сурс зеро кричать ужасный кс го постоянно привыкать выйти обновление вновь начать говорить кс хороший хороший кс полный говорить повториться касаться кс принцип игра хотеть будущее стоять место поэтому постараться принять факт выйти новый версия правильный вариант попросту привыкать она нежели засирать отличие предыдущий глядеть месяц забыть кс го повод нововведение всё пиксель разбирать смысл самый значимый добавить текстура карта изменить многие камушек лежать место многие потёртость стенка карта то яркий стать какой то светлый честно глаз резать суть выглядеть хороший что то явно так впрочем есть давать говориться,1
Recommended,да,Posted: 21 Apr @ 3:32am,19.6 hrs last two weeks / 136.1 hrs on record(135.3 hrs at review time),,1
Recommended,топи,Posted: 21 Apr @ 3:30am,29.2 hrs last two weeks / 169.9 hrs on record(166.8 hrs at review time),топь,1
Recommended,топ игра не кому не советую,Posted: 21 Apr @ 3:30am,58.3 hrs last two weeks / 156.4 hrs on record(152.3 hrs at review time),топ игра советовать,1
Not Recommended,"Игра с читами"""" - это новый долгожданный игровой режим от валв, они даже античит для этого специально отключили, но многие этого не выкупили, и не оценили старание компании. Грустненько Ж(",Posted: 21 Apr @ 3:29am,"16.3 hrs last two weeks / 1,242.2 hrs on record(1,240.2 hrs at review time)",игра читами долгожданный игровой режим валва античит специально отключить многие выкупить оценить старание компания грустненький,0
Not Recommended,"Убрали нормальную игру и добавили помойку читеров, спасибо.Неиграбильно",Posted: 21 Apr @ 3:28am,"6.2 hrs last two weeks / 1,152.3 hrs on record",убрать нормальный игра добавить помойка читер спасибо неиграбильный,0
Recommended,норм,Posted: 21 Apr @ 3:23am,48.7 hrs last two weeks / 99.7 hrs on record(97.6 hrs at review time),норма,1
Recommended,топ,Posted: 21 Apr @ 3:22am,3.9 hrs last two weeks / 16.7 hrs on record(15.9 hrs at review time),топ,1
Recommended,"Это просто шедевр... Летит как надо, ( В РОТ) игра просто блеск. Рекомендую.",Posted: 21 Apr @ 3:20am,2.8 hrs last two weeks / 2.8 hrs on record(0.5 hrs at review time),шедевр лететь надо рот игра блеск рекомендовать,1
Recommended,имба,Posted: 21 Apr @ 3:20am,6.2 hrs last two weeks / 15.7 hrs on record(13.3 hrs at review time),имб,1
Recommended,Нормас,Posted: 21 Apr @ 3:19am,1.0 hrs last two weeks / 82.6 hrs on record,нормас,1
Recommended,скучна,Posted: 21 Apr @ 3:14am,0.1 hrs last two weeks / 262.3 hrs on record(262.2 hrs at review time),скучный,1
Recommended,все,Posted: 21 Apr @ 3:12am,0.9 hrs last two weeks / 9.4 hrs on record(9.3 hrs at review time),,1
Recommended,нормально,Posted: 21 Apr @ 3:10am,16.5 hrs last two weeks / 204.5 hrs on record,нормально,1
